DataDescriptor,TimeElap(ns),Value,AdditionalComment
Current,3704660,0.8145302702497578,num 1
Voltage,4757587,0.9289258512880677,num 2
Current,4768762,0.9835903819893,num 2
Voltage,4781194,0.7919085296067098,num 3
Current,4789924,0.6434697182947782,num 3
Voltage,4802635,0.08467567257363584,num 4
Current,4820445,0.28465278206148936,num 5
Voltage,4831689,0.12436162455546185,num 6
Current,4850826,0.14802004670214242,num 9
Voltage,4862279,0.5488512861743992,num 10
Current,4870591,0.559458963987714,num 10
Voltage,4881835,0.6876744839435223,num 11
Current,4899575,0.4242432109576152,num 14
Voltage,4915987,0.1370539348791565,num 17
Current,4927232,0.003175341356243644,num 18
Current,4939664,0.36208253383164446,num 19
Voltage,4950768,0.1209017437659704,num 20
Current,4958730,0.8049634165247433,num 20
Voltage,4969486,0.20659420984509136,num 21
Voltage,4981219,0.5795157922735613,num 22
Current,4989041,0.04460763876185636,num 22
Voltage,5006711,0.3805026392807701,num 24
Current,5017187,0.6520802762904366,num 24
Voltage,5027943,0.6611457389057876,num 25
Voltage,5039467,0.28558581524902016,num 26
Current,5047708,0.8905983092542019,num 26
Voltage,5058883,0.41739214026224036,num 27
Current,5070476,0.07408332377934235,num 28
Current,5082210,0.13511050468380637,num 29
Voltage,5093803,0.627189114136478,num 30
Voltage,5104838,0.9533048787470019,num 31
Voltage,5129283,0.6680447262877427,num 33
Current,5141226,0.471550587793682,num 34
Current,5152121,0.09757554488435627,num 35
Current,5163505,0.7542997177371519,num 36
Voltage,5179638,0.6543922740215549,num 38
Voltage,5194375,0.6290692032681814,num 39
Current,5202546,0.5978804579313047,num 39
Voltage,5213162,0.5835507730920276,num 40
Current,5254229,0.8874258436868635,num 41
Current,5267219,0.4395599329064618,num 42
Voltage,5278883,0.10698365640524188,num 43
Current,5290057,0.7155718789607863,num 44
Current,5304375,0.6464042563126007,num 45
Current,5317365,0.5997392057805754,num 46
Current,5333778,0.3211300753654057,num 49
Current,5343765,0.42809777200912946,num 50
Current,5354032,0.21249399968748683,num 51
Voltage,5364857,0.23627042325976833,num 52
Voltage,5375334,0.043806612042113335,num 53
Current,5390908,0.6194096982493273,num 56
Voltage,5401314,0.5151816055472196,num 57
Voltage,5413746,0.8262584294800865,num 59
Current,5421219,0.01679583798280737,num 59
Current,5442102,0.8217692812157937,num 61
Current,5452857,0.30109896477963194,num 62
Current,5463543,0.7556622250706141,num 63
Voltage,5479676,0.7362363194491067,num 65
Voltage,5493645,0.386316729709276,num 66
