DataDescriptor,TimeElap(ns),Value,AdditionalComment
MotorSetCommand,1005469969,1.857406042606532E15,0; p: 5.0
MotorSetCommand,1005489665,1.857406042660589E15,1; p: 5.0
MotorSetCommand,1005503912,1.857406042675535E15,2; p: 5.0
MotorSetCommand,1005514388,1.857406042685453E15,3; p: 5.0
Pval,1005522420,5.0,
Temperature,1005592820,2.2871510547273974,1; p: 5.0
Out_Current,1005614611,0.24977936943137374,1; p: 5.0
Out_Voltage,1005630325,11.095381815727269,1; p: 5.0
In_Voltage,1005648065,17.228801779458635,1; p: 5.0
Temperature,1005660287,2.289456430647134,2; p: 5.0
Out_Current,1005672858,10.025949273316483,2; p: 5.0
Out_Voltage,1005684312,19.240391041353842,2; p: 5.0
In_Voltage,1005695696,18.271482516414576,2; p: 5.0
Temperature,1005707081,14.084196589610492,3; p: 5.0
Out_Current,1005725589,19.06897200947369,3; p: 5.0
Out_Voltage,1005737531,18.153820130895877,3; p: 5.0
In_Voltage,1005751081,9.0544426241675,3; p: 5.0
Temperature,1005764770,16.634978647318206,4; p: 5.0
Out_Current,1005776154,11.65438790972844,4; p: 5.0
Out_Voltage,1005787887,14.024819891326718,4; p: 5.0
In_Voltage,1005804858,7.132003584981333,4; p: 5.0
Temperature,1005922262,19.668208885986015,1; p: 5.0
Out_Current,1005946497,3.139354091458452,1; p: 5.0
Out_Voltage,1005965633,16.56127778213167,1; p: 5.0
In_Voltage,1005985398,18.31676792460745,1; p: 5.0
Temperature,1006003277,2.0936362495479033,2; p: 5.0
Out_Current,1006021087,7.014905726638158,2; p: 5.0
Out_Voltage,1006040712,7.464086364224553,2; p: 5.0
In_Voltage,1006058103,12.049372896503028,2; p: 5.0
Temperature,1006105805,0.037796683803046106,3; p: 5.0
Out_Current,1006135347,15.021825414081128,3; p: 5.0
Out_Voltage,1006154135,6.385090511195452,3; p: 5.0
In_Voltage,1006171106,2.190765212277868,3; p: 5.0
Temperature,1006193246,8.278691819839377,4; p: 5.0
Out_Current,1006208471,8.041839492508519,4; p: 5.0
Out_Voltage,1006219785,18.24742715606646,4; p: 5.0
In_Voltage,1006230541,19.4049696192986,4; p: 5.0
Temperature,1016176917,8.699171163896256,1; p: 5.0
Out_Current,1016197660,5.20375449019443,1; p: 5.0
Out_Voltage,1016209603,2.830792743535681,1; p: 5.0
In_Voltage,1016220638,4.020184263712904,1; p: 5.0
Temperature,1016231463,14.290027852854466,2; p: 5.0
Out_Current,1016242288,9.372262439701379,2; p: 5.0
Out_Voltage,1016252974,9.202536000584189,2; p: 5.0
In_Voltage,1016264288,1.3921910155212938,2; p: 5.0
Temperature,1016275952,15.407158802386697,3; p: 5.0
Out_Current,1016286917,19.532677562191807,3; p: 5.0
Out_Voltage,1016297323,18.385832851551047,3; p: 5.0
In_Voltage,1016314853,0.2397109380662552,3; p: 5.0
Temperature,1016326028,1.640750602610387,4; p: 5.0
Out_Current,1016336434,14.043380407945792,4; p: 5.0
Out_Voltage,1016346980,5.046860906629321,4; p: 5.0
In_Voltage,1016360111,14.039411646477754,4; p: 5.0
Temperature,1026913058,15.020283185323356,1; p: 5.0
Out_Current,1026934848,18.067346644087483,1; p: 5.0
Out_Voltage,1026958106,10.072347348397997,1; p: 5.0
In_Voltage,1026975775,9.265675116967174,1; p: 5.0
Temperature,1026988836,14.280365808762413,2; p: 5.0
Out_Current,1027000709,18.173463270113615,2; p: 5.0
Out_Voltage,1027016702,15.495973484597302,2; p: 5.0
